iter	RMSE
0	10655.68744
1	10426.21944
2	10218.33827
3	10009.78507
4	9791.492112
5	9601.86044
6	9438.279346
7	9234.775022
8	9050.291718
9	8892.378142
10	8734.061579
11	8571.47285
12	8394.202591
13	8231.317462
14	8067.358242
15	7913.081145
16	7744.205684
17	7598.168124
18	7453.992417
19	7300.663058
20	7152.382863
21	7018.489574
22	6881.680788
23	6745.485687
24	6632.953694
25	6500.406824
26	6375.959028
27	6273.750707
28	6156.986788
29	6060.099242
30	5945.705347
31	5844.506612
32	5732.050095
33	5639.419098
34	5547.09681
35	5446.15639
36	5354.824973
37	5272.46739
38	5186.969042
39	5099.506795
40	5020.598759
41	4925.223137
42	4856.003433
43	4770.794597
44	4683.827182
45	4604.674914
46	4528.297671
47	4461.043434
48	4386.04605
49	4310.522531
50	4244.461548
51	4172.657362
52	4100.973573
53	4031.986769
54	3966.871815
55	3903.267657
56	3848.976076
57	3794.38739
58	3755.055502
59	3697.885059
60	3642.990669
61	3587.729726
62	3536.807835
63	3480.672416
64	3424.500271
65	3371.625045
66	3323.820394
67	3266.185754
68	3218.449912
69	3174.673189
70	3128.263225
71	3087.028843
72	3046.157688
73	3005.335534
74	2962.98955
75	2919.145447
76	2884.139471
77	2850.26035
78	2815.176282
79	2774.869862
80	2737.475016
81	2701.935742
82	2667.69545
83	2632.9343
84	2602.802289
85	2570.750621
86	2535.238755
87	2500.89835
88	2465.98965
89	2439.233559
90	2403.470438
91	2368.444356
92	2336.343302
93	2302.334075
94	2277.640404
95	2244.063428
96	2217.985372
97	2190.391072
98	2161.574195
99	2133.181821
100	2105.134674
101	2081.097224
102	2059.631268
103	2036.560039
104	2011.436213
105	1985.869986
106	1965.104044
107	1946.591132
108	1926.30436
109	1907.392082
110	1892.466521
111	1869.126583
112	1852.124667
113	1832.824807
114	1811.567104
115	1791.243553
116	1769.812891
117	1748.546992
118	1729.154732
119	1711.250935
120	1692.731081
121	1673.273337
122	1653.680473
123	1635.479071
124	1619.260422
125	1602.600985
126	1583.317852
127	1562.914519
128	1545.879507
