iter	Passed	Remaining
0	100	100812
1	103	51822
2	106	35317
3	109	27348
4	119	23785
5	122	20370
6	125	17864
7	126	15744
8	128	14179
9	131	12984
10	136	12306
11	140	11574
12	141	10756
13	145	10214
14	146	9647
15	148	9138
16	151	8732
17	154	8451
18	157	8126
19	160	7851
20	164	7646
21	167	7424
22	168	7161
23	171	6975
24	173	6777
25	175	6583
26	177	6411
27	180	6252
28	183	6146
29	184	5981
30	186	5839
31	189	5720
32	190	5587
33	192	5472
34	194	5367
35	196	5262
36	198	5165
37	200	5067
38	202	4977
39	206	4945
40	208	4877
41	209	4789
42	211	4710
43	215	4689
44	219	4667
45	226	4693
46	229	4646
47	234	4659
48	240	4665
49	242	4616
50	246	4593
51	250	4558
52	253	4524
53	254	4455
54	256	4406
55	260	4383
56	261	4323
57	265	4305
58	267	4272
59	271	4252
60	274	4227
61	277	4197
62	280	4171
63	282	4134
64	287	4129
65	290	4115
66	292	4078
67	295	4055
68	301	4064
69	308	4101
70	322	4221
71	325	4195
72	337	4287
73	348	4354
74	354	4375
75	359	4365
76	373	4482
77	382	4521
78	386	4500
79	387	4460
80	391	4439
81	396	4440
82	401	4431
83	403	4399
84	405	4359
85	406	4323
86	408	4287
87	410	4257
88	413	4231
89	417	4221
90	422	4222
91	428	4225
92	430	4193
93	434	4190
94	436	4162
95	442	4166
96	444	4141
97	447	4120
98	455	4141
99	458	4128
100	462	4116
101	465	4099
102	467	4071
103	469	4044
104	474	4046
105	479	4041
106	483	4037
107	485	4013
108	487	3988
109	493	3991
110	497	3985
111	501	3975
112	503	3950
113	506	3933
114	513	3949
115	517	3946
116	520	3929
117	524	3917
118	526	3895
119	531	3898
120	535	3888
121	537	3865
122	540	3855
123	542	3835
124	544	3813
125	548	3801
126	551	3794
127	557	3797
128	561	3788
129	565	3787
130	572	3794
131	575	3782
132	579	3777
133	584	3777
134	588	3772
135	590	3750
136	592	3730
137	597	3733
138	607	3765
139	611	3756
140	615	3749
141	618	3739
142	622	3732
143	630	3748
144	633	3735
145	634	3714
146	656	3811
147	669	3857
148	680	3884
149	691	3918
150	695	3912
151	710	3966
152	722	4001
153	728	4004
154	739	4033
155	744	4026
156	745	4005
157	747	3981
158	748	3958
159	749	3936
160	750	3913
161	752	3891
162	753	3870
163	755	3849
164	756	3828
165	757	3808
166	759	3787
167	760	3766
168	762	3747
169	763	3726
170	764	3705
171	765	3685
172	767	3666
173	768	3648
174	769	3629
175	771	3610
176	772	3592
177	774	3574
178	775	3556
179	776	3537
180	777	3520
181	779	3502
182	780	3485
183	781	3467
184	782	3448
185	783	3431
186	784	3412
187	786	3395
188	787	3378
189	788	3362
190	789	3344
191	790	3328
192	791	3311
193	792	3294
194	794	3278
195	795	3262
196	796	3246
197	797	3231
198	798	3216
199	799	3199
200	801	3184
201	802	3169
202	803	3154
203	804	3139
204	806	3126
205	807	3112
206	808	3098
207	810	3085
208	811	3071
209	813	3058
210	814	3044
211	815	3030
212	816	3017
213	818	3004
214	819	2990
215	820	2978
216	821	2965
217	823	2952
218	824	2939
219	825	2926
220	826	2914
221	828	2902
222	829	2890
223	830	2877
224	831	2865
225	833	2853
226	834	2841
227	835	2828
228	836	2816
229	837	2803
230	838	2792
231	839	2780
232	841	2769
233	842	2758
234	843	2747
235	845	2735
236	846	2724
237	847	2713
238	848	2702
239	849	2690
240	850	2679
241	851	2668
242	853	2658
243	854	2647
244	855	2636
245	856	2625
246	857	2614
247	858	2604
248	860	2594
249	861	2584
250	862	2575
251	864	2565
252	865	2555
253	867	2546
254	868	2536
255	869	2527
256	870	2517
257	872	2508
258	873	2499
259	874	2490
260	876	2480
261	877	2471
262	878	2461
263	879	2451
264	880	2442
265	881	2433
266	882	2423
267	884	2414
268	885	2405
269	886	2396
270	887	2388
271	888	2379
272	890	2370
273	891	2362
274	892	2352
275	893	2343
276	894	2334
277	895	2325
278	896	2316
279	897	2308
280	898	2300
281	900	2291
282	900	2282
283	902	2274
284	903	2266
285	904	2258
286	905	2250
287	906	2242
288	908	2233
289	909	2226
290	910	2218
291	911	2210
292	912	2202
293	914	2195
294	915	2187
295	916	2179
296	917	2171
297	918	2164
298	919	2156
299	920	2148
300	922	2141
301	923	2134
302	924	2126
303	925	2119
304	927	2112
305	928	2104
306	929	2098
307	930	2091
308	932	2084
309	933	2077
310	934	2070
311	935	2063
312	936	2055
313	937	2048
314	939	2042
315	940	2035
316	941	2028
317	942	2021
318	944	2015
319	945	2008
320	946	2002
321	947	1995
322	949	1989
323	950	1983
324	951	1976
325	952	1970
326	954	1963
327	955	1957
328	956	1951
329	958	1946
330	959	1939
331	961	1933
332	962	1927
333	963	1921
334	964	1914
335	965	1908
336	966	1902
337	967	1895
338	968	1889
339	970	1883
340	971	1877
341	972	1871
342	973	1864
343	974	1859
344	976	1853
345	977	1846
346	978	18434347	979	1835343	1160	2213
344	1164	2210
345	1170	2213
346	1172	2207
347	1176	2204
348	1182	2205
349	1187	2205
350	1189	2198
351	1192	2195
352	1194	2190
353	1197	2184
354	1198	2177
355	1202	2176
356	1204	2169
357	1206	2163
358	1209	2159
359	1212	2155
360	1214	2149
361	1217	2145
362	1218	2137
363	1220	2131
364	1221	2125
365	1223	2119
366	1224	2112
367	1226	2106
368	1228	2099
369	1229	2093
370	1231	2088
371	1235	2084
372	1236	2078
373	1239	2074
374	1240	2067
375	1242	2062
376	1245	2058
377	1250	2057
378	1253	2054
379	1256	2049
380	1258	2044
381	1259	2038
382	1261	2032
383	1262	2025
384	1264	2019
385	1265	2013
386	1267	2007
387	1269	2002
388	1271	1996
389	1273	1991
390	1274	1985
391	1276	1979
392	1277	1973
393	1278	1967
394	1281	1962
395	1282	1956
396	1284	1950
397	1286	1945
398	1288	1941
399	1290	1935
400	1292	1929
401	1293	1924
402	1295	1919
